Year;Month;Etot1m [mm]
1981; 1; 129.3
1981; 2; 104.9
1981; 3; 135.1
1981; 4; 96.4
1981; 5; 85.7
1981; 6; 82.6
1981; 7; 96.7
1981; 8; 114.0
1981; 9; 111.4
1981; 10; 112.7
1981; 11; 104.2
1981; 12; 102.4
1982; 1; 120.4
1982; 2; 109.8
1982; 3; 120.3
1982; 4; 92.0
1982; 5; 91.0
1982; 6; 90.5
1982; 7; 94.4
1982; 8; 109.1
1982; 9; 106.7
1982; 10; 106.5
1982; 11; 101.8
1982; 12; 104.8
1983; 1; 122.9
1983; 2; 106.4
1983; 3; 140.2
1983; 4; 95.1
1983; 5; 100.9
1983; 6; 100.4
1983; 7; 104.6
1983; 8; 111.8
1983; 9; 111.6
1983; 10; 109.1
1983; 11; 106.1
1983; 12; 103.9
1984; 1; 113.0
1984; 2; 98.0
1984; 3; 118.6
1984; 4; 108.1
1984; 5; 94.5
1984; 6; 84.3
1984; 7; 94.4
1984; 8; 101.5
1984; 9; 105.7
1984; 10; 111.5
1984; 11; 98.8
1984; 12; 113.9
1985; 1; 135.9
1985; 2; 107.7
1985; 3; 126.1
1985; 4; 103.0
1985; 5; 91.7
1985; 6; 76.9
1985; 7; 91.0
1985; 8; 97.3
1985; 9; 109.7
1985; 10; 107.4
1985; 11; 100.4
1985; 12; 123.8
1986; 1; 115.1
1986; 2; 107.1
1986; 3; 114.4
1986; 4; 100.4
1986; 5; 93.4
1986; 6; 83.8
1986; 7; 93.0
1986; 8; 103.2
1986; 9; 101.5
1986; 10; 102.5
1986; 11; 103.1
1986; 12; 117.9
1987; 1; 124.6
1987; 2; 113.8
1987; 3; 127.6
1987; 4; 102.9
1987; 5; 93.4
1987; 6; 88.8
1987; 7; 97.2
1987; 8; 105.6
1987; 9; 110.0
1987; 10; 107.7
1987; 11; 103.4
1987; 12; 113.3
1988; 1; 133.2
1988; 2; 123.1
1988; 3; 133.0
1988; 4; 102.1
1988; 5; 95.6
1988; 6; 89.1
1988; 7; 87.6
1988; 8; 100.7
1988; 9; 113.2
1988; 10; 115.2
1988; 11; 95.2
1988; 12; 116.0
1989; 1; 111.8
1989; 2; 113.9
1989; 3; 116.9
1989; 4; 97.6
1989; 5; 79.2
1989; 6; 83.7
1989; 7; 96.0
1989; 8; 103.5
1989; 9; 115.3
1989; 10; 104.4
1989; 11; 99.0
1989; 12; 132.1
1990; 1; 108.3
1990; 2; 119.4
1990; 3; 109.8
1990; 4; 91.8
1990; 5; 90.9
1990; 6; 88.7
1990; 7; 93.3
1990; 8; 110.6
1990; 9; 112.2
