Year;Month;T2m1m []
1981; 1; 26.5
1981; 2; 25.5
1981; 3; 26.8
1981; 4; 25.4
1981; 5; 25.1
1981; 6; 24.4
1981; 7; 23.9
1981; 8; 25.0
1981; 9; 24.8
1981; 10; 25.3
1981; 11; 25.4
1981; 12; 25.1
1982; 1; 25.6
1982; 2; 25.4
1982; 3; 25.7
1982; 4; 25.1
1982; 5; 24.7
1982; 6; 24.6
1982; 7; 24.4
1982; 8; 24.5
1982; 9; 25.0
1982; 10; 24.9
1982; 11; 25.1
1982; 12; 25.0
1983; 1; 26.2
1983; 2; 27.3
1983; 3; 27.3
1983; 4; 25.6
1983; 5; 26.1
1983; 6; 25.2
1983; 7; 25.1
1983; 8; 24.8
1983; 9; 25.2
1983; 10; 25.1
1983; 11; 25.3
1983; 12; 24.6
1984; 1; 24.9
1984; 2; 24.6
1984; 3; 25.8
1984; 4; 25.4
1984; 5; 25.2
1984; 6; 24.2
1984; 7; 23.9
1984; 8; 24.3
1984; 9; 24.6
1984; 10; 25.3
1984; 11; 24.8
1984; 12; 25.0
1985; 1; 26.7
1985; 2; 26.8
1985; 3; 26.0
1985; 4; 25.5
1985; 5; 24.6
1985; 6; 23.5
1985; 7; 23.7
1985; 8; 24.2
1985; 9; 24.9
1985; 10; 25.2
1985; 11; 24.8
1985; 12; 25.6
1986; 1; 25.8
1986; 2; 25.7
1986; 3; 25.3
1986; 4; 25.3
1986; 5; 25.0
1986; 6; 23.9
1986; 7; 23.7
1986; 8; 24.8
1986; 9; 24.6
1986; 10; 24.9
1986; 11; 25.0
1986; 12; 25.2
1987; 1; 25.7
1987; 2; 25.8
1987; 3; 26.5
1987; 4; 25.7
1987; 5; 25.2
1987; 6; 24.7
1987; 7; 24.9
1987; 8; 24.9
1987; 9; 25.6
1987; 10; 25.6
1987; 11; 25.7
1987; 12; 25.8
1988; 1; 26.3
1988; 2; 26.3
1988; 3; 27.8
1988; 4; 25.7
1988; 5; 25.1
1988; 6; 24.2
1988; 7; 23.8
1988; 8; 24.8
1988; 9; 25.2
1988; 10; 25.6
1988; 11; 24.9
1988; 12; 25.0
1989; 1; 24.6
1989; 2; 24.9
1989; 3; 25.1
1989; 4; 25.0
1989; 5; 24.0
1989; 6; 24.0
1989; 7; 24.0
1989; 8; 24.8
1989; 9; 25.3
1989; 10; 24.9
1989; 11; 25.3
