Year;Month;Epot1m [mm]
1981; 1; 483.4
1981; 2; 241.0
1981; 3; 478.3
1981; 4; 225.3
1981; 5; 228.1
1981; 6; 180.5
1981; 7; 238.8
1981; 8; 300.5
1981; 9; 267.2
1981; 10; 261.0
1981; 11; 220.1
1981; 12; 208.7
1982; 1; 340.1
1982; 2; 222.8
1982; 3; 287.9
1982; 4; 222.3
1982; 5; 215.3
1982; 6; 244.1
1982; 7; 240.2
1982; 8; 281.5
1982; 9; 259.6
1982; 10; 224.6
1982; 11; 214.4
1982; 12; 214.0
1983; 1; 352.0
1983; 2; 519.0
1983; 3; 420.9
1983; 4; 189.9
1983; 5; 350.0
1983; 6; 283.7
1983; 7; 318.7
1983; 8; 275.8
1983; 9; 229.8
1983; 10; 226.9
1983; 11; 210.8
1983; 12; 222.9
1984; 1; 282.9
1984; 2; 152.4
1984; 3; 320.3
1984; 4; 294.4
1984; 5; 284.2
1984; 6; 174.9
1984; 7; 211.9
1984; 8; 243.4
1984; 9; 237.5
1984; 10; 256.9
1984; 11; 189.8
1984; 12; 283.9
1985; 1; 764.7
1985; 2; 639.7
1985; 3; 342.6
1985; 4; 272.0
1985; 5; 199.0
1985; 6; 171.8
1985; 7; 215.6
1985; 8; 196.9
1985; 9; 244.4
1985; 10; 250.2
1985; 11; 198.9
1985; 12; 448.2
1986; 1; 469.4
1986; 2; 361.1
1986; 3; 277.5
1986; 4; 229.8
1986; 5; 230.4
1986; 6; 159.1
1986; 7; 219.7
1986; 8; 272.4
1986; 9; 194.5
1986; 10; 175.7
1986; 11; 199.8
1986; 12; 294.2
1987; 1; 317.6
1987; 2; 258.1
1987; 3; 345.0
1987; 4; 261.5
1987; 5; 250.0
1987; 6; 216.2
1987; 7; 219.5
1987; 8; 249.4
1987; 9; 259.8
1987; 10; 252.3
1987; 11; 186.9
1987; 12; 281.5
1988; 1; 428.4
1988; 2; 334.9
1988; 3; 654.1
1988; 4; 249.8
1988; 5; 215.7
1988; 6; 215.6
1988; 7; 187.9
1988; 8; 221.7
1988; 9; 267.1
1988; 10; 284.5
1988; 11; 164.1
1988; 12; 305.5
1989; 1; 254.9
1989; 2; 288.7
1989; 3; 288.8
1989; 4; 216.4
1989; 5; 171.5
1989; 6; 182.9
1989; 7; 247.8
1989; 8; 247.1
1989; 9; 264.7
1989; 10; 212.3
1989; 11; 215.7
1989; 12; 634.3
1990; 1; 376.7
1990; 2; 329.9
1990; 3; 233.7
1990; 4; 193.8
1990; 5; 240.0
1990; 6; 213.3
1990; 7; 248.0
1990; 8; 273.9
1990; 9; 251.0
1990; 10; 247.0
1990; 11; 211.7
1990; 12; 241.2
1991; 1; 501.4
1991; 2; 398.2
1991; 3; 349.4
1991; 4; 206.6
1991; 5; 193.9
1991; 6; 149.2
1991; 7; 171.6
1991; 8; 231.5
1991; 9; 225.7
1991; 10; 254.6
1991; 11; 220.5
1991; 12; 353.4
1992; 1; 471.7
1992; 2; 429.9
1992; 3; 290.2
1992; 4; 246.8
1992; 5; 258.9
1992; 6; 252.6
1992; 7; 196.6
1992; 8; 209.9
1992; 9; 223.1
1992; 10; 279.3
1992; 11; 198.9
1992; 12; 274.4
1993; 1; 288.7
1993; 2; 279.5
1993; 3; 215.6
1993; 4; 206.2
1993; 5; 248.7
1993; 6; 184.8
1993; 7; 260.1
1993; 8; 243.5
1993; 9; 268.3
1993; 10; 249.4
1993; 11; 169.5
1993; 12; 350.0
1994; 1; 428.0
1994; 2; 259.1
1994; 3; 266.1
1994; 4; 200.1
1994; 5; 221.6
1994; 6; 180.1
1994; 7; 240.7
1994; 8; 223.3
1994; 9; 213.5
1994; 10; 260.7
1994; 11; 245.7
1994; 12; 321.5
1995; 1; 550.5
1995; 2; 708.4
1995; 3; 354.8
1995; 4; 298.8
1995; 5; 265.9
1995; 6; 183.7
1995; 7; 206.9
1995; 8; 292.6
1995; 9; 272.0
1995; 10; 273.4
1995; 11; 273.2
1995; 12; 267.2
1996; 1; 414.3
1996; 2; 194.9
1996; 3; 322.0
1996; 4; 286.2
1996; 5; 223.2
1996; 6; 152.2
1996; 7; 173.7
1996; 8; 239.4
1996; 9; 262.0
1996; 10; 284.5
1996; 11; 209.2
1996; 12; 264.5
1997; 1; 459.9
1997; 2; 253.3
1997; 3; 498.8
1997; 4; 272.0
1997; 5; 172.3
1997; 6; 270.1
1997; 7; 246.5
1997; 8; 259.3
1997; 9; 283.6
1997; 10; 292.8
1997; 11; 272.3
1997; 12; 359.5
1998; 1; 435.6
1998; 2; 318.7
1998; 3; 318.0
1998; 4; 236.2
1998; 5; 232.8
1998; 6; 188.9
1998; 7; 229.1
1998; 8; 244.4
1998; 9; 322.3
1998; 10; 267.9
1998; 11; 207.7
1998; 12; 272.9
1999; 1; 248.3
1999; 2; 195.6
1999; 3; 352.4
1999; 4; 210.9
1999; 5; 279.7
1999; 6; 201.4
1999; 7; 209.1
1999; 8; 255.7
1999; 9; 280.2
1999; 10; 294.6
1999; 11; 298.2
1999; 12; 371.0
2000; 1; 528.2
2000; 2; 429.6
2000; 3; 340.4
2000; 4; 219.8
2000; 5; 177.9
2000; 6; 157.7
2000; 7; 234.2
2000; 8; 256.9
2000; 9; 258.4
2000; 10; 232.0
2000; 11; 235.1
2000; 12; 287.2
2001; 1; 385.5
2001; 2; 373.1
2001; 3; 311.2
2001; 4; 318.9
2001; 5; 232.3
2001; 6; 206.8
2001; 7; 240.7
2001; 8; 159.0
2001; 9; 248.6
2001; 10; 296.8
2001; 11; 237.1
2001; 12; 197.7
2002; 1; 467.1
2002; 2; 344.0
2002; 3; 312.1
2002; 4; 230.3
2002; 5; 209.7
2002; 6; 188.4
2002; 7; 230.6
2002; 8; 253.7
2002; 9; 277.7
2002; 10; 247.8
2002; 11; 235.5
2002; 12; 319.0
2003; 1; 598.4
2003; 2; 400.8
2003; 3; 343.2
2003; 4; 236.9
2003; 5; 202.0
2003; 6; 208.8
2003; 7; 198.7
2003; 8; 221.5
2003; 9; 230.7
2003; 10; 269.1
2003; 11; 253.1
2003; 12; 212.0
2004; 1; 514.4
2004; 2; 707.7
2004; 3; 308.2
2004; 4; 250.5
2004; 5; 213.3
2004; 6; 209.5
2004; 7; 210.5
2004; 8; 233.9
2004; 9; 228.3
2004; 10; 316.3
2004; 11; 223.5
2004; 12; 283.6
2005; 1; 339.0
2005; 2; 277.8
2005; 3; 384.7
2005; 4; 236.3
2005; 5; 297.7
2005; 6; 252.6
2005; 7; 256.7
2005; 8; 285.4
2005; 9; 299.5
2005; 10; 279.4
2005; 11; 262.1
2005; 12; 285.2
2006; 1; 219.0
2006; 2; 368.3
2006; 3; 262.3
2006; 4; 317.6
2006; 5; 263.6
2006; 6; 205.5
2006; 7; 231.6
2006; 8; 310.2
2006; 9; 322.4
2006; 10; 325.7
2006; 11; 233.8
2006; 12; 228.8
2007; 1; 385.4
2007; 2; 887.1
2007; 3; 404.5
2007; 4; 284.4
2007; 5; 241.0
2007; 6; 208.0
2007; 7; 282.0
2007; 8; 305.7
2007; 9; 220.2
2007; 10; 271.9
2007; 11; 274.1
2007; 12; 322.1
2008; 1; 388.1
2008; 2; 308.2
2008; 3; 354.5
2008; 4; 327.3
2008; 5; 218.8
2008; 6; 199.4
2008; 7; 223.7
2008; 8; 307.8
2008; 9; 280.8
2008; 10; 267.6
2008; 11; 238.4
2008; 12; 276.6
2009; 1; 210.6
2009; 2; 316.5
2009; 3; 272.8
2009; 4; 302.2
2009; 5; 363.3
2009; 6; 234.6
2009; 7; 274.3
2009; 8; 255.6
2009; 9; 304.7
2009; 10; 317.2
2009; 11; 294.6
2009; 12; 363.5
2010; 1; 473.6
2010; 2; 357.7
2010; 3; 330.7
2010; 4; 256.3
2010; 5; 266.8
2010; 6; 262.8
2010; 7; 269.4
2010; 8; 266.5
2010; 9; 333.1
2010; 10; 342.7
2010; 11; 244.9
2010; 12; 277.5
2011; 1; 414.1
2011; 2; 254.6
2011; 3; 292.9
2011; 4; 234.1
2011; 5; 219.3
2011; 6; 256.8
2011; 7; 266.3
2011; 8; 336.5
2011; 9; 286.4
2011; 10; 322.8
2011; 11; 270.1
2011; 12; 255.4
2012; 1; 327.0
2012; 2; 330.4
2012; 3; 233.3
2012; 4; 257.0
2012; 5; 252.2
2012; 6; 293.8
2012; 7; 248.3
2012; 8; 267.4
2012; 9; 307.3
2012; 10; 351.6
2012; 11; 315.3
2012; 12; 331.0
2013; 1; 605.3
2013; 2; 284.4
2013; 3; 331.5
2013; 4; 309.5
2013; 5; 303.0
2013; 6; 249.1
2013; 7; 296.7
2013; 8; 239.6
2013; 9; 286.4
2013; 10; 343.2
2013; 11; 306.9
2013; 12; 374.3
2014; 1; 419.5
2014; 2; 341.6
2014; 3; 348.8
2014; 4; 247.0
2014; 5; 336.2
2014; 6; 207.6
2014; 7; 275.2
2014; 8; 265.0
2014; 9; 286.7
2014; 10; 251.3
2014; 11; 279.2
2014; 12; 342.3
2015; 1; 311.4
2015; 2; 333.6
2015; 3; 340.9
2015; 4; 256.1
2015; 5; 292.6
2015; 6; 198.3
2015; 7; 238.4
2015; 8; 279.3
2015; 9; 359.8
2015; 10; 301.7
2015; 11; 235.2
2015; 12; 356.1
2016; 1; 816.9
2016; 2; 487.6
2016; 3; 416.1
2016; 4; 254.4
2016; 5; 209.1
2016; 6; 226.8
2016; 7; 208.0
2016; 8; 303.8
2016; 9; 297.7
2016; 10; 309.0
2016; 11; 264.4
2016; 12; 272.0
2017; 1; 302.5
2017; 2; 380.1
2017; 3; 261.6
2017; 4; 346.9
2017; 5; 348.0
2017; 6; 187.3
2017; 7; 251.2
2017; 8; 373.2
2017; 9; 333.6
2017; 10; 305.3
2017; 11; 240.7
2017; 12; 345.8
2018; 1; 302.5
2018; 2; 562.4
2018; 3; 452.0
2018; 4; 228.2
2018; 5; 206.8
2018; 6; 189.4
2018; 7; 229.2
2018; 8; 337.0
2018; 9; 347.9
2018; 10; 275.8
2018; 11; 233.1
2018; 12; 380.3
2019; 1; 398.0
2019; 2; 354.5
2019; 3; 364.0
2019; 4; 355.0
2019; 5; 257.8
2019; 6; 186.0
2019; 7; 290.7
2019; 8; 317.9
2019; 9; 336.5
2019; 10; 278.3
2019; 11; 265.7
2019; 12; 246.5
2020; 1; 522.5
2020; 2; 599.4
2020; 3; 554.3
2020; 4; 408.3
2020; 5; 353.6
2020; 6; 287.8
2020; 7; 301.2
2020; 8; 288.6
2020; 9; 377.3
2020; 10; 377.7
2020; 11; 303.0
2020; 12; 283.9
2021; 1; NaN
2021; 2; NaN
2021; 3; NaN
2021; 4; NaN
2021; 5; NaN
2021; 6; NaN
2021; 7; NaN
2021; 8; NaN
2021; 9; NaN
2021; 10; NaN
2021; 11; NaN
2021; 12; NaN
