i,Year,Month,Pm [mm]
0,1981,1,58.7
1,1981,2,243.8
2,1981,3,121.4
3,1981,4,363.2
4,1981,5,337.7
5,1981,6,352
6,1981,7,315.1
7,1981,8,218.1
8,1981,9,266
9,1981,10,227.4
10,1981,11,202.3
11,1981,12,219.7
12,1982,1,134.7
13,1982,2,214.8
14,1982,3,244.4
15,1982,4,309.4
16,1982,5,387.5
17,1982,6,327.4
18,1982,7,320.3
19,1982,8,286
20,1982,9,228.6
21,1982,10,231.2
22,1982,11,237.5
23,1982,12,195.7
24,1983,1,152.6
25,1983,2,145.3
26,1983,3,162.5
27,1983,4,383.6
28,1983,5,283.5
29,1983,6,320.5
30,1983,7,266.2
31,1983,8,316.9
32,1983,9,242.7
33,1983,10,253.9
34,1983,11,238.4
35,1983,12,240.1
36,1984,1,220
37,1984,2,281
38,1984,3,194.1
39,1984,4,289.2
40,1984,5,315.2
41,1984,6,412.3
42,1984,7,364.7
43,1984,8,267.1
44,1984,9,259.2
45,1984,10,213.6
46,1984,11,286.9
47,1984,12,163.7
48,1985,1,22.5
49,1985,2,72.8
50,1985,3,237
51,1985,4,298.7
52,1985,5,454.2
53,1985,6,603.9
54,1985,7,399
55,1985,8,308.1
56,1985,9,265.2
57,1985,10,216.9
58,1985,11,214.7
59,1985,12,81.4
60,1986,1,88.9
61,1986,2,180.3
62,1986,3,212.6
63,1986,4,281.3
64,1986,5,360.3
65,1986,6,438.2
66,1986,7,511.6
67,1986,8,250.2
68,1986,9,322.3
69,1986,10,297
70,1986,11,223.1
71,1986,12,227.3
72,1987,1,146.7
73,1987,2,220.6
74,1987,3,182.8
75,1987,4,334.6
76,1987,5,347.9
77,1987,6,366.8
78,1987,7,353.6
79,1987,8,302.6
80,1987,9,240.7
81,1987,10,231.9
82,1987,11,264.8
83,1987,12,175.2
84,1988,1,120.1
85,1988,2,146.8
86,1988,3,158.4
87,1988,4,336.4
88,1988,5,418.6
89,1988,6,426.7
90,1988,7,410.7
91,1988,8,289.6
92,1988,9,248.9
93,1988,10,200.8
94,1988,11,262
95,1988,12,168.5
96,1989,1,225.1
97,1989,2,189.3
98,1989,3,260.7
99,1989,4,301.7
100,1989,5,429.9
101,1989,6,411.4
102,1989,7,333.7
103,1989,8,322.5
104,1989,9,246.5
105,1989,10,300.8
106,1989,11,214.6
107,1989,12,37.6
108,1990,1,228.8
109,1990,2,124.3
110,1990,3,319.1
111,1990,4,372.2
112,1990,5,408.9
113,1990,6,369.2
114,1990,7,373.3
115,1990,8,241.6
116,1990,9,244.4
117,1990,10,236.5
118,1990,11,249.7
119,1990,12,247.3
120,1991,1,69.4
121,1991,2,183.9
122,1991,3,196.6
123,1991,4,354.8
124,1991,5,435.7
125,1991,6,388.3
126,1991,7,538.7
127,1991,8,404.8
128,1991,9,231
129,1991,10,221.9
130,1991,11,198.5
131,1991,12,105.7
132,1992,1,96.5
133,1992,2,138.9
134,1992,3,217.3
135,1992,4,319.6
136,1992,5,345.2
137,1992,6,293.7
138,1992,7,448.5
139,1992,8,302
140,1992,9,208.5
141,1992,10,240.9
142,1992,11,259.7
143,1992,12,182.3
144,1993,1,177.4
145,1993,2,146.5
146,1993,3,328.1
147,1993,4,366.3
148,1993,5,455.9
149,1993,6,436
150,1993,7,368.8
151,1993,8,288.9
152,1993,9,270.3
153,1993,10,304.9
154,1993,11,247.6
155,1993,12,154.1
156,1994,1,132
157,1994,2,235.8
158,1994,3,280.5
159,1994,4,380
160,1994,5,425.2
161,1994,6,400.2
162,1994,7,362.5
163,1994,8,341.9
164,1994,9,273.4
165,1994,10,237.2
166,1994,11,196
167,1994,12,162.6
168,1995,1,90
169,1995,2,48.7
170,1995,3,214.6
171,1995,4,269.7
172,1995,5,362.3
173,1995,6,438.7
174,1995,7,405.3
175,1995,8,275.1
176,1995,9,223.2
177,1995,10,237.5
178,1995,11,214.8
179,1995,12,208.1
180,1996,1,90.2
181,1996,2,296.8
182,1996,3,191.1
183,1996,4,263
184,1996,5,370.4
185,1996,6,474.6
186,1996,7,403
187,1996,8,289.1
188,1996,9,288.1
189,1996,10,188
190,1996,11,236.7
191,1996,12,160.7
192,1997,1,90.8
193,1997,2,269.5
194,1997,3,143.9
195,1997,4,280.5
196,1997,5,592.6
197,1997,6,312.4
198,1997,7,352.5
199,1997,8,263.4
200,1997,9,238.6
201,1997,10,219.7
202,1997,11,199
203,1997,12,176.5
204,1998,1,98
205,1998,2,161.4
206,1998,3,224.1
207,1998,4,389.7
208,1998,5,434.3
209,1998,6,415.1
210,1998,7,399
211,1998,8,318.1
