Años;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1981;58.7;243.8;121.4;363.2;337.7;352;315.1;218.1;266;227.4;202.3;219.7
1982;134.7;214.8;244.4;;;;;;;;;
1983;;;;;;;266.2;316.9;;;;
1984;;281;194.1;289.2;315.2;412.3;364.7;267.1;259.2;;;
1985;;;;;;;;;265.2;216.9;214.7;81.4
1986;88.9;180.3;212.6;281.3;360.3;438.2;511.6;250.2;;;;
1987;;;;;;;;;;;;
1988;;;158.4;336.4;;;;;;;;
1989;;;;;;411.4;333.7;322.5;246.5;300.8;214.6;37.6
1990;228.8;124.3;319.1;372.2;408.9;369.2;373.3;241.6;244.4;236.5;249.7;247.3
1991;69.4;183.9;196.6;354.8;;;;;;;;
1992;;;;;;;448.5;302;208.5;240.9;259.7;182.3
1993;177.4;146.5;328.1;366.3;455.9;436;368.8;288.9;270.3;304.9;247.6;154.1
1994;132;235.8;280.5;380;425.2;400.2;362.5;341.9;;;;
1995;;;;269.7;362.3;438.7;405.3;;;;;
1996;;;;263;370.4;474.6;403;289.1;288.1;188;236.7;160.7
1997;90.8;269.5;143.9;280.5;;;;;;;;
1998;;;;;;415.1;;;;;;
1999;;;;;;;;;;;;
2000;;;;;;;;;;;;
2001;;;244.9;298.8;480.6;306;379.5;375.3;254.4;202.3;197.8;225.3
2002;145;117.8;322.1;345.9;486.3;;;;;;;
2003;;;215.2;338.4;472.9;370.8;430.1;298.7;282;231;243.7;201
2004;97.2;68.8;258.2;318.6;466.9;434.4;;;;;;
2005;;;163.3;326.4;325.8;384.9;372.9;241.3;230;218.6;;
2006;;;;233.8;394;367.7;392.3;240.7;;;;
2007;;13.8;249.9;412.8;407.1;;;;;;;
2008;;;;;;;417;398.8;281.1;268.8;;
2009;;;;288.3;276.3;399.5;;;;;;
2010;;;;397.7;460;;;;;;;
2011;;;;;;381.4;;;;;;
2012;;;;;350.4;304.9;441.6;415.9;302.2;207.2;176.5;189.7
2013;23.8;253.9;352.2;335.9;362.5;348.5;309.3;353.2;259.4;214.6;216.2;206.2
2014;120.1;145.5;272.1;336;380.4;664.2;412.7;358.8;212;;;
2015;;;;;;;;;;;;
2016;;;;;431;597.6;423.6;;;;;
2017;212.6;134.9;304.6;265.5;339.9;444.1;499.8;227.6;233.9;;;
2018;;;;;507.4;372.3;406.4;283.4;;;;
2019;;;;;;;426.4;337.1;188.9;286;207.7;277.6
2020;55.3;96.1;168.7;234.2;312.4;391.5;300.4;;;;;
2021;;;;;;;;;;;;
