Year;E;F;M;A;M;J;J;A;S;O;N;D
1981;26.5;25.5;26.8;25.4;25.1;24.4;23.9;25;24.8;25.3;25.4;25.1
1982;25.6;25.4;25.7;;;;;;;;;
1983;;;;;;;25.1;24.8;;;;
1984;;24.6;25.8;25.4;25.2;24.2;23.9;24.3;24.6;;;
1985;;;;;;;;;24.9;25.2;24.8;25.6
1986;25.8;25.7;25.3;25.3;25;23.9;23.7;24.8;;;;
1987;;;;;;;;;;;;
1988;;;27.8;25.7;;;;;;;;
1989;;;;;;24;24;24.8;25.3;24.9;25.3;26.7
1990;25.9;25.8;25.4;25.3;25;24.6;24.2;24.9;25;25.7;25.4;25.1
1991;26.4;26.5;26.1;24.9;;;;;;;;
1992;;;;;;;23.5;24.3;24.8;25.5;25;25.3
1993;25.3;25.6;24.8;25.2;25.1;24.4;24.5;24.7;25.1;25.2;25.1;25.7
1994;26.3;25.5;25.4;25;25;24.1;23.9;24.4;;;;
1995;;;;26;25.3;24.5;24.4;;;;;
1996;;;;25.6;24.8;24;23.8;24.7;25.2;25.4;25.2;25.1
1997;26;25;26.3;25.6;;;;;;;;
1998;;;;;;24.5;;;;;;
1999;;;;;;;;;;;;
2000;;;;;;;;;;;;
2001;;;25.6;25.5;24.9;23.7;24.1;24.6;24.9;25.7;25.5;25.2
2002;26.4;26.4;25.7;25.2;24.9;;;;;;;
2003;;;26.2;25.4;24.7;24.4;23.7;24.5;24.8;25.5;25.5;25.5
2004;26.4;27.6;26;25.6;24.7;24.3;;;;;;
2005;;;26.6;25.6;25.7;25;24.6;25.1;25.6;25.9;;
2006;;;;25.8;24.7;24.4;24.6;25.3;;;;
2007;;28.7;26.5;25.6;25.1;;;;;;;
2008;;;;;;;24.2;25.2;25.3;25.6;;
2009;;;;25.7;25.7;24.6;;;;;;
2010;;;;26;25.4;;;;;;;
2011;;;;;;25;;;;;;
2012;;;;;24.9;24.8;24.2;24.6;25.4;26;26.3;26
2013;27.4;26;26.1;26;25.3;25;24.5;24.6;25.5;26;25.6;25.8
2014;26.3;26.5;26.2;25.7;25.7;24.7;24.6;24.8;25.7;;;
2015;;;;;;;;;;;;
2016;;;;;25.3;24.7;24.7;;;;;
2017;25.6;26.2;25.8;26.3;26;24.9;24.4;26;26.1;;;
2018;;;;;24.9;24.2;24.6;25.1;;;;
2019;;;;;;;24.7;25;26.2;25.5;26.1;25.9
2020;27.2;28.1;27.8;26.6;26;25.4;25.1;;;;;
2021;;;;;;;;;;;;
