Year;E;F;M;A;M;J;J;A;S;O;N;D
1981;;;;;;;;;;;;
1982;;;;;;;;;;;;
1983;;;;;;;;;229.8;226.9;210.8;222.9
1984;282.9;;;;;;;;;256.9;189.8;283.9
1985;764.7;639.7;342.6;272;199;171.8;215.6;196.9;;;;
1986;;;;;;;;;;;;
1987;;;;;;;;;;;;
1988;;;;;215.7;215.6;187.9;221.7;267.1;284.5;164.1;305.5
1989;254.9;288.7;288.8;216.4;171.5;;;;;;;
1990;;;;;;;;;;;;
1991;;;;;;;;;;;;
1992;;;;;;;;;;;;
1993;;;;;;;;;;;;
1994;;;;;;;;;;;;
1995;;;;;;;;292.6;272;273.4;273.2;267.2
1996;414.3;194.9;322;;;;;;;;;
1997;;;;;;;;;;;;
1998;;;;;;;229.1;244.4;322.3;267.9;207.7;272.9
1999;248.3;195.6;352.4;210.9;279.7;201.4;209.1;255.7;280.2;294.6;298.2;371
2000;528.2;429.6;340.4;219.8;177.9;157.7;234.2;256.9;258.4;232;235.1;287.2
2001;385.5;373.1;;;;;;;;;;
2002;;;;;;;;;;;;
2003;;;;;;;;;;;;
2004;;;;;;;;;;;;
2005;;;;;;;;;;;262.1;285.2
2006;219;368.3;262.3;;;;;;;;;
2007;;;;;;208;282;305.7;220.2;271.9;274.1;322.1
2008;388.1;308.2;354.5;327.3;218.8;199.4;;;;;238.4;276.6
2009;210.6;316.5;272.8;;;;;;;;;
2010;;;;;;262.8;269.4;266.5;333.1;342.7;244.9;277.5
2011;414.1;254.6;292.9;234.1;219.3;;266.3;336.5;286.4;322.8;270.1;255.4
2012;327;330.4;233.3;257;;;;;;;;
2013;;;;;;;;;;;;
2014;;;;;;;;;;;;
2015;;;;;;;;;;;;
2016;;;;;;;;303.8;297.7;309;264.4;272
2017;;;;;;;;;;305.3;240.7;345.8
2018;302.5;562.4;452;228.2;;;;;;;;
2019;;;;;;;;;;;;
2020;;;;;;;;288.6;377.3;377.7;303;283.9
2021;;;;;;;;;;;;
