Year;E;F;M;A;M;J;J;A;S;O;N;D
1981;;;;;;;;;;;;
1982;;;;222.3;215.3;244.1;240.2;281.5;259.6;224.6;214.4;214
1983;352;519;420.9;189.9;350;283.7;;;;;;
1984;;;;;;;;;;;;
1985;;;;;;;;;;;;
1986;;;;;;;;;194.5;175.7;199.8;294.2
1987;317.6;258.1;345;261.5;250;216.2;219.5;249.4;259.8;252.3;186.9;281.5
1988;428.4;334.9;;;;;;;;;;
1989;;;;;;;;;;;;
1990;;;;;;;;;;;;
1991;;;;;193.9;149.2;171.6;231.5;225.7;254.6;220.5;353.4
1992;471.7;429.9;290.2;246.8;258.9;252.6;;;;;;
1993;;;;;;;;;;;;
1994;;;;;;;;;213.5;260.7;245.7;321.5
1995;550.5;708.4;354.8;;;;;;;;;
1996;;;;;;;;;;;;
1997;;;;;172.3;270.1;246.5;259.3;283.6;292.8;272.3;359.5
1998;435.6;318.7;318;236.2;232.8;;;;;;;
1999;;;;;;;;;;;;
2000;;;;;;;;;;;;
2001;;;;;;;;;;;;
2002;;;;;;188.4;230.6;253.7;277.7;247.8;235.5;319
2003;598.4;400.8;;;;;;;;;;
2004;;;;;;;210.5;233.9;228.3;316.3;223.5;283.6
2005;339;277.8;;;;;;;;;;
2006;;;;;;;;;322.4;325.7;233.8;228.8
2007;385.4;;;;;;;;;;;
2008;;;;;;;;;;;;
2009;;;;;;;274.3;255.6;304.7;317.2;294.6;363.5
2010;473.6;357.7;330.7;;;;;;;;;
2011;;;;;;;;;;;;
2012;;;;;;;;;;;;
2013;;;;;;;;;;;;
2014;;;;;;;;;;251.3;279.2;342.3
2015;311.4;333.6;340.9;256.1;292.6;198.3;238.4;279.3;359.8;301.7;235.2;356.1
2016;816.9;487.6;416.1;254.4;;;;;;;;
2017;;;;;;;;;;;;
2018;;;;;;;;;347.9;275.8;233.1;380.3
2019;398;354.5;364;355;257.8;186;;;;;;
2020;;;;;;;;;;;;
2021;;;;;;;;;;;;
