Year;E;F;M;A;M;J;J;A;S;O;N;D
1981;;;;;;;;;;;;
1982;;;;25.1;24.7;24.6;24.4;24.5;25;24.9;25.1;25
1983;26.2;27.3;27.3;25.6;26.1;25.2;;;;;;
1984;;;;;;;;;;;;
1985;;;;;;;;;;;;
1986;;;;;;;;;24.6;24.9;25;25.2
1987;25.7;25.8;26.5;25.7;25.2;24.7;24.9;24.9;25.6;25.6;25.7;25.8
1988;26.3;26.3;;;;;;;;;;
1989;;;;;;;;;;;;
1990;;;;;;;;;;;;
1991;;;;;25;24.6;23.8;24.3;25;25.1;25.2;25.7
1992;26.3;26.8;26.3;25.8;25.7;24.9;;;;;;
1993;;;;;;;;;;;;
1994;;;;;;;;;25;25.4;25.4;25.8
1995;26.3;27.8;26.1;;;;;;;;;
1996;;;;;;;;;;;;
1997;;;;;24.5;25.1;24.7;24.9;25.9;26.3;25.8;26.4
1998;27.2;27.2;26.9;26.1;25.3;;;;;;;
1999;;;;;;;;;;;;
2000;;;;;;;;;;;;
2001;;;;;;;;;;;;
2002;;;;;;24.1;24.3;24.7;25.5;25.5;25.1;25.7
2003;27.4;26.6;;;;;;;;;;
2004;;;;;;;24.1;24.6;25.1;25.8;25.4;25.6
2005;26.1;26;;;;;;;;;;
2006;;;;;;;;;25.5;26;25.4;25.5
2007;26.6;;;;;;;;;;;
2008;;;;;;;;;;;;
2009;;;;;;;24.8;25.3;26;26;26.6;26.5
2010;26.9;27.5;26.9;;;;;;;;;
2011;;;;;;;;;;;;
2012;;;;;;;;;;;;
2013;;;;;;;;;;;;
2014;;;;;;;;;;25.5;25.7;26.1
2015;25.8;26.2;26.1;25.7;25.7;24.7;24.8;25.4;26.7;26.3;26;26.4
2016;28.7;27.8;27.5;26.1;;;;;;;;
2017;;;;;;;;;;;;
2018;;;;;;;;;25.9;26.2;26;25.9
2019;26.4;26.8;26.7;26.3;25.5;24.9;;;;;;
2020;;;;;;;;;;;;
2021;;;;;;;;;;;;
