Year;E;F;M;A;M;J;J;A;S;O;N;D
1981;483.4;241;478.3;225.3;228.1;180.5;238.8;300.5;267.2;261;220.1;208.7
1982;340.1;222.8;287.9;;;;;;;;;
1983;;;;;;;318.7;275.8;;;;
1984;;152.4;320.3;294.4;284.2;174.9;211.9;243.4;237.5;;;
1985;;;;;;;;;244.4;250.2;198.9;448.2
1986;469.4;361.1;277.5;229.8;230.4;159.1;219.7;272.4;;;;
1987;;;;;;;;;;;;
1988;;;654.1;249.8;;;;;;;;
1989;;;;;;182.9;247.8;247.1;264.7;212.3;215.7;634.3
1990;376.7;329.9;233.7;193.8;240;213.3;248;273.9;251;247;211.7;241.2
1991;501.4;398.2;349.4;206.6;;;;;;;;
1992;;;;;;;196.6;209.9;223.1;279.3;198.9;274.4
1993;288.7;279.5;215.6;206.2;248.7;184.8;260.1;243.5;268.3;249.4;169.5;350
1994;428;259.1;266.1;200.1;221.6;180.1;240.7;223.3;;;;
1995;;;;298.8;265.9;183.7;206.9;;;;;
1996;;;;286.2;223.2;152.2;173.7;239.4;262;284.5;209.2;264.5
1997;459.9;253.3;498.8;272;;;;;;;;
1998;;;;;;188.9;;;;;;
1999;;;;;;;;;;;;
2000;;;;;;;;;;;;
2001;;;311.2;318.9;232.3;206.8;240.7;159;248.6;296.8;237.1;197.7
2002;467.1;344;312.1;230.3;209.7;;;;;;;
2003;;;343.2;236.9;202;208.8;198.7;221.5;230.7;269.1;253.1;212
2004;514.4;707.7;308.2;250.5;213.3;209.5;;;;;;
2005;;;384.7;236.3;297.7;252.6;256.7;285.4;299.5;279.4;;
2006;;;;317.6;263.6;205.5;231.6;310.2;;;;
2007;;887.1;404.5;284.4;241;;;;;;;
2008;;;;;;;223.7;307.8;280.8;267.6;;
2009;;;;302.2;363.3;234.6;;;;;;
2010;;;;256.3;266.8;;;;;;;
2011;;;;;;256.8;;;;;;
2012;;;;;252.2;293.8;248.3;267.4;307.3;351.6;315.3;331
2013;605.3;284.4;331.5;309.5;303;249.1;296.7;239.6;286.4;343.2;306.9;374.3
2014;419.5;341.6;348.8;247;336.2;207.6;275.2;265;286.7;;;
2015;;;;;;;;;;;;
2016;;;;;209.1;226.8;208;;;;;
2017;302.5;380.1;261.6;346.9;348;187.3;251.2;373.2;333.6;;;
2018;;;;;206.8;189.4;229.2;337;;;;
2019;;;;;;;290.7;317.9;336.5;278.3;265.7;246.5
2020;522.5;599.4;554.3;408.3;353.6;287.8;301.2;;;;;
2021;;;;;;;;;;;;
