Year;E;F;M;A;M;J;J;A;S;O;N;D
1981;129.3;104.9;135.1;96.4;85.7;82.6;96.7;114;111.4;112.7;104.2;102.4
1982;120.4;109.8;120.3;;;;;;;;;
1983;;;;;;;104.6;111.8;;;;
1984;;98;118.6;108.1;94.5;84.3;94.4;101.5;105.7;;;
1985;;;;;;;;;109.7;107.4;100.4;123.8
1986;115.1;107.1;114.4;100.4;93.4;83.8;93;103.2;;;;
1987;;;;;;;;;;;;
1988;;;133;102.1;;;;;;;;
1989;;;;;;83.7;96;103.5;115.3;104.4;99;132.1
1990;108.3;119.4;109.8;91.8;90.9;88.7;93.3;110.6;112.2;112.2;104.2;111.8
1991;137.2;105.9;128.4;92.2;;;;;;;;
1992;;;;;;;85.5;97.7;101.9;120.1;99;113.6
1993;120.2;115.1;102.8;96.5;89;82.7;93.6;106;113.1;108.3;98;117.5
1994;128.7;113;113.7;91.7;90.2;82.9;88.4;103.3;;;;
1995;;;;106.6;98.3;86.6;91.5;;;;;
1996;;;;105.2;90.3;77.8;87.6;102;108.4;113.5;98.5;109.6
1997;130.6;102.8;135.6;97.9;;;;;;;;
1998;;;;;;83.7;;;;;;
1999;;;;;;;;;;;;
2000;;;;;;;;;;;;
2001;;;120.2;109.7;89.1;83.1;97.6;98.9;108.6;118.4;107.9;102.6
2002;135.2;128.1;125.7;101.1;90.4;;;;;;;
2003;;;131.7;102.9;87.2;89.6;87.9;100.5;107;116.8;108.8;109.3
2004;133;103;124.5;101.2;87.1;90.4;;;;;;
2005;;;136.7;101.7;98.7;93.2;98.4;108.5;121.1;120;;
2006;;;;109.8;93.8;90.5;94.1;114.1;;;;
2007;;112;116.3;105.3;94.6;;;;;;;
2008;;;;;;;94.2;113.1;119.2;120.7;;
2009;;;;108.5;105.3;90.2;;;;;;
2010;;;;103;89.3;;;;;;;
2011;;;;;;95.8;;;;;;
2012;;;;;94.9;98.9;94.2;104.2;118.6;130.1;124.1;124.2
2013;130.6;108.8;126.7;111.1;96.5;95.9;100.4;104.8;118;129.4;122.4;129.3
2014;132.4;121.5;129.2;104.2;105.2;86.2;97.6;110.8;118.6;;;
2015;;;;;;;;;;;;
2016;;;;;91.1;89.6;97.4;;;;;
2017;121.6;126.9;121.5;116.4;103.7;86;90.5;125.4;124.4;;;
2018;;;;;86.8;84;98.1;118.4;;;;
2019;;;;;;;99.6;113.9;130.3;120.5;113.9;113.2
2020;138;124;127.5;120;102.8;98.2;102.5;;;;;
2021;;;;;;;;;;;;
