Años;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1981;;;;;;;;;;;;
1982;;;;;;;;;;;;
1983;;;;;;;;;242.7;253.9;238.4;240.1
1984;220;;;;;;;;;213.6;286.9;163.7
1985;22.5;72.8;237;298.7;454.2;603.9;399;308.1;;;;
1986;;;;;;;;;;;;
1987;;;;;;;;;;;;
1988;;;;;418.6;426.7;410.7;289.6;248.9;200.8;262;168.5
1989;225.1;189.3;260.7;301.7;429.9;;;;;;;
1990;;;;;;;;;;;;
1991;;;;;;;;;;;;
1992;;;;;;;;;;;;
1993;;;;;;;;;;;;
1994;;;;;;;;;;;;
1995;;;;;;;;275.1;223.2;237.5;214.8;208.1
1996;90.2;296.8;191.1;;;;;;;;;
1997;;;;;;;;;;;;
1998;;;;;;;399;318.1;269.9;254.5;196.3;210.4
1999;237;224.6;185.3;379.4;390.9;365.5;385.5;341.2;239.5;213.2;155.9;130.8
2000;67.2;138.5;173.4;367.2;473.7;441.6;358.3;303.7;285;246.6;202.4;205.1
2001;118;123.4;;;;;;;;;;
2002;;;;;;;;;;;;
2003;;;;;;;;;;;;
2004;;;;;;;;;;;;
2005;;;;;;;;;;;220.7;198.7
2006;330.2;111.7;295.2;;;;;;;;;
2007;;;;;;441.9;339.1;299.5;308.3;249.6;184.6;216.7
2008;128.5;207.9;196.3;304.9;394.1;487.8;;;;;227.6;252.4
2009;321.2;177;288.8;;;;;;;;;
2010;;;;;;375.6;367;340.6;196.4;227.6;244.7;235.2
2011;117.8;187.4;304.2;331.2;446;;384.6;282;266.2;232.2;224.6;215.3
2012;208.4;203.7;365.3;335.7;;;;;;;;
2013;;;;;;;;;;;;
2014;;;;;;;;;;;;
2015;;;;;;;;;;;;
2016;;;;;;;;295;249.5;235;234.6;245.4
2017;;;;;;;;;;198.9;217.2;140.7
2018;193.2;31.4;286.5;384;;;;;;;;
2019;;;;;;;;;;;;
2020;;;;;;;;236.5;263.1;234.8;237.9;246.5
2021;;;;;;;;;;;;
