Year;E;F;M;A;M;J;J;A;S;O;N;D
1981;;;;;;;;;;;;
1982;;;;;;;;;;;;
1983;;;;;;;;;25.2;25.1;25.3;24.6
1984;24.9;;;;;;;;;25.3;24.8;25
1985;26.7;26.8;26;25.5;24.6;23.5;23.7;24.2;;;;
1986;;;;;;;;;;;;
1987;;;;;;;;;;;;
1988;;;;;25.1;24.2;23.8;24.8;25.2;25.6;24.9;25
1989;24.6;24.9;25.1;25;24;;;;;;;
1990;;;;;;;;;;;;
1991;;;;;;;;;;;;
1992;;;;;;;;;;;;
1993;;;;;;;;;;;;
1994;;;;;;;;;;;;
1995;;;;;;;;25.4;25.3;25.5;25.4;25.4
1996;26;24.9;26;;;;;;;;;
1997;;;;;;;;;;;;
1998;;;;;;;24.5;25.3;25.6;25.6;25.4;25.3
1999;25;25;25.7;24.7;24.7;24.3;23.9;24.3;24.9;25.2;25.7;25.6
2000;26;25.6;25.7;24.8;24.5;24;23.9;24.6;24.8;25;25.4;25
2001;25.2;25.6;;;;;;;;;;
2002;;;;;;;;;;;;
2003;;;;;;;;;;;;
2004;;;;;;;;;;;;
2005;;;;;;;;;;;25.6;25.4
2006;25;26.2;25.6;;;;;;;;;
2007;;;;;;24.3;24.8;24.9;25.2;25.6;25.5;25.5
2008;25.8;25.6;25.8;25.8;24.6;24.3;;;;;25.5;25.3
2009;25.2;25.8;25.6;;;;;;;;;
2010;;;;;;25.1;24.7;24.9;25.9;26.3;25.5;25.4
2011;25.7;25.7;25.4;25.2;24.8;;24.6;25.5;25.5;25.7;25.6;25.4
2012;25.6;25.5;25;25.2;;;;;;;;
2013;;;;;;;;;;;;
2014;;;;;;;;;;;;
2015;;;;;;;;;;;;
2016;;;;;;;;25.6;25.6;26.2;26;25.5
2017;;;;;;;;;;26.1;26;26.3
2018;25.5;27.3;26.8;25.1;;;;;;;;
2019;;;;;;;;;;;;
2020;;;;;;;;25.2;26.2;26.4;25.8;25.7
2021;;;;;;;;;;;;
