Year;E;F;M;A;M;J;J;A;S;O;N;D
1981;;;;;;;;;;;;
1982;;;;92;91;90.5;94.4;109.1;106.7;106.5;101.8;104.8
1983;122.9;106.4;140.2;95.1;100.9;100.4;;;;;;
1984;;;;;;;;;;;;
1985;;;;;;;;;;;;
1986;;;;;;;;;101.5;102.5;103.1;117.9
1987;124.6;113.8;127.6;102.9;93.4;88.8;97.2;105.6;110;107.7;103.4;113.3
1988;133.2;123.1;;;;;;;;;;
1989;;;;;;;;;;;;
1990;;;;;;;;;;;;
1991;;;;;84.7;78.6;83.9;108.7;104.6;117.3;103.1;120.7
1992;130;112.9;118.1;96.9;94.4;91.8;;;;;;
1993;;;;;;;;;;;;
1994;;;;;;;;;106;108.3;107.6;121.7
1995;128.3;109.7;127;;;;;;;;;
1996;;;;;;;;;;;;
1997;;;;;83;92.1;99.2;107.9;119;125.5;115.3;128.2
1998;140.6;121.2;127.3;101.7;88.2;;;;;;;
1999;;;;;;;;;;;;
2000;;;;;;;;;;;;
2001;;;;;;;;;;;;
2002;;;;;;83.7;94.5;105.9;115.1;116.3;108.1;124.4
2003;126.3;117.4;;;;;;;;;;
2004;;;;;;;93.4;108.7;116.3;125;103;115.9
2005;126.3;113.2;;;;;;;;;;
2006;;;;;;;;;122.2;123.3;109.1;111.9
2007;134.8;;;;;;;;;;;
2008;;;;;;;;;;;;
2009;;;;;;;98.8;107.6;123.3;126.3;121.9;128.7
2010;137.9;121.1;132.2;;;;;;;;;
2011;;;;;;;;;;;;
2012;;;;;;;;;;;;
2013;;;;;;;;;;;;
2014;;;;;;;;;;120.8;114.8;125.9
2015;125.6;120.2;128;106.5;99.4;89.7;90.9;109.2;129.6;126.9;112.5;131.5
2016;126.9;113.9;137.1;101.7;;;;;;;;
2017;;;;;;;;;;;;
2018;;;;;;;;;125.1;120;111.6;130.7
2019;133.5;130.3;132.4;113.9;93.3;87.4;;;;;;
2020;;;;;;;;;;;;
2021;;;;;;;;;;;;
